날짜,제품,카테고리,매출,원가,수량,지역,고객
2025-01-05,노트북 A100,전자기기,2500000,1800000,5,서울,삼성전자
2025-01-08,모니터 27인치,전자기기,890000,620000,10,서울,LG전자
2025-01-12,사무용 의자,가구,450000,280000,20,부산,현대건설
2025-01-15,프린터 MX500,사무기기,320000,210000,8,대구,포스코
2025-01-18,키보드 기계식,전자기기,180000,95000,35,서울,카카오
2025-01-22,책상 L형,가구,680000,420000,12,인천,네이버
2025-02-03,노트북 A100,전자기기,3000000,2160000,6,서울,삼성전자
2025-02-07,마우스 무선,전자기기,85000,42000,50,부산,쿠팡
2025-02-10,복합기 Pro,사무기기,1200000,850000,3,서울,SK하이닉스
2025-02-14,파일 캐비넷,가구,520000,310000,15,대전,한화
2025-02-18,태블릿 11인치,전자기기,980000,680000,8,서울,LG전자
2025-02-22,헤드셋 Pro,전자기기,220000,120000,25,광주,NC소프트
2025-03-01,노트북 B200,전자기기,3200000,2300000,4,서울,삼성전자
2025-03-05,모니터 32인치,전자기기,1200000,850000,7,부산,현대자동차
2025-03-08,사무용 의자,가구,540000,330000,18,서울,카카오
2025-03-12,스캐너 HD,사무기기,280000,175000,6,대구,포스코
2025-03-15,웹캠 4K,전자기기,150000,85000,30,인천,네이버
2025-03-20,책상 일반형,가구,380000,230000,22,서울,SK텔레콤
2025-03-25,복합기 Lite,사무기기,680000,450000,5,부산,롯데
2025-04-02,노트북 A100,전자기기,2750000,1980000,5,서울,삼성전자
2025-04-06,키보드 기계식,전자기기,195000,98000,40,대전,한화
2025-04-10,모니터 27인치,전자기기,920000,640000,9,서울,LG전자
2025-04-15,파일 캐비넷,가구,480000,290000,14,광주,NC소프트
2025-04-20,태블릿 11인치,전자기기,1050000,720000,6,부산,현대자동차
2025-04-25,프린터 MX500,사무기기,340000,220000,7,서울,카카오
2025-05-03,노트북 B200,전자기기,3500000,2520000,5,서울,삼성전자
2025-05-08,헤드셋 Pro,전자기기,240000,130000,28,인천,네이버
2025-05-12,책상 L형,가구,720000,450000,10,서울,SK하이닉스
2025-05-16,마우스 무선,전자기기,92000,45000,55,부산,쿠팡
2025-05-20,복합기 Pro,사무기기,1350000,950000,4,대구,포스코
